area,perimeter,compactness,length_kernel,width_kernel,asymmetry_coefficient,length_kernel_groove,label,cluster_kmeans,PCA1,PCA2
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,2,0,1.1210358308589115,-0.05919679224801962
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,2,0,2.419302177603607,1.0339569459652733
19.46,16.5,0.8985,6.113,3.892,4.308,6.009,2,0,3.251002324993263,-0.3093774666467578
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,2,0,3.183421065617879,-0.8025252998486351
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2,0,3.1155124474129106,-0.3998377073149177
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,2,0,2.8443726730558394,0.5205864414088153
17.63,15.86,0.88,6.033,3.573,3.747,5.929,2,0,2.0731818537526023,-0.39408198567693825
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2,0,4.087403189683562,-1.0573268182392244
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,2,0,2.7746566769379086,0.7124139256814386
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,2,0,2.7395364326977645,0.728708320983687
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,2,0,3.073045434271025,-0.7035560074949898
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,2,0,3.3813402026212054,0.9362325397691724
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,2,0,2.734600716761264,-2.221592064686017
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2,0,4.341594536430752,-1.2460344804715733
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2,0,3.3921757691730026,0.10564554629509612
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2,0,2.9237537141824927,0.13799706417179894
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2,0,3.3465171325118463,-0.1349266731541866
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,2,0,3.0873912807793156,0.03758098459863696
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2,0,3.9322018819826936,-0.5427798895062537
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2,0,3.692506534965712,-1.531817259726475
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2,0,2.2934451897870463,-0.4934956494957885
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,2,0,0.7414793129233984,-0.8545828767583347
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2,0,2.7810133835633417,0.6953050870591868
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,2,2,0.5935555197460809,1.3901804357590928
18.75,16.18,0.8999,6.111,3.869,4.188,5.992,2,0,3.0190747417973136,-0.18498417731049763
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2,0,2.6437190943084863,-1.2258349196094966
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,2,0,2.54248163045014,0.8386117645770443
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2,0,3.8126801108200734,-0.08818727005108026
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,2,0,1.7853091742149543,-0.3936425303372739
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2,0,2.8083172988922507,0.7955682564029012
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2,0,3.0755413075128373,0.3094030539211867
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2,0,0.638685054467883,-0.799207314555193
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,2,0,0.9526684969272792,-0.8208230686693856
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,2,0,0.8603404537102889,-0.7348677253821669
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2,0,2.139259408554107,-0.3931257407994472
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,2,0,0.7401330354833491,-0.4178072656696672
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2,2,0.6666394003299169,-0.18331631393542516
16.23,15.18,0.885,5.872,3.472,3.769,5.922,2,0,1.4121417445993132,-0.1886612875321799
13.07,13.92,0.848,5.472,2.994,5.304,5.395,3,1,-1.4052666270868304,-1.2301041052185648
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3,1,-1.1458181914928807,-1.8256572693166835
13.34,13.95,0.862,5.389,3.074,5.995,5.307,3,1,-1.298187759472258,-1.1282116163744227
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3,1,-1.9507682318820108,-0.6391528137330351
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,3,1,-2.523220251789555,-1.0696391612373215
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3,1,-3.0297610001947968,-2.2094445260055857
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3,1,-2.6585983913961724,0.27472615373119136
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3,1,-1.903538419623648,0.02704806081184005
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3,1,-1.5981129545715251,-0.10971340786953482
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3,1,-3.2493814406261854,-1.9477530669237262
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3,1,-2.2461036280515883,-0.9701988391916918
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,3,1,-2.5239416405654818,-2.4867335419940018
12.26,13.6,0.8333,5.408,2.833,4.756,5.36,3,1,-2.042960620128142,-1.2584912490836402
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3,1,-2.987944095178932,-0.3462892903134148
11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3,1,-2.6408441657681476,-0.6005971629933292
11.19,13.05,0.8253,5.25,2.675,5.813,5.219,3,1,-3.014634532375604,-1.782485230531291
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,3,1,-2.607401778820489,0.5227762019710575
12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3,1,-2.5499324821933325,-1.7816154650462797
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3,1,-2.6005317083010806,-1.6551694800938488
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3,1,-2.719654241537211,-1.6528281885201401
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,3,1,-1.5375699778286505,-0.34102920610017057
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3,1,-2.0523239323841316,-0.5576553615714989
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3,1,-2.4244724122280705,-0.861583909624401
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3,1,-1.775226532691316,-0.3686790111144019
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3,1,-3.0173721415279813,-1.0840119470281826
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,3,2,-1.8739954925874969,1.4701152620930409
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3,1,-1.960698118080556,-0.9216738879245875
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,3,1,-1.894904908012479,-0.43594831740480267
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,3,1,-2.9521649610829446,-0.8789253023778721
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,3,1,-2.8640737106652994,-1.4842190222244211
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,3,1,-2.9195482551090715,-1.2217158680430185
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3,1,-3.2731105864553793,-1.8080676739817854
10.8,12.57,0.859,4.981,2.821,4.773,5.063,3,1,-2.964719126412814,-0.18978193905242102
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3,1,-2.9790145917586366,-1.177968210071368
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3,1,-3.3528948892828323,-0.806121448583834
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3,1,-2.855119374470649,-1.0953038480546784
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,3,2,-1.830262122633366,0.7238291401841246
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3,1,-2.929180305436991,-0.2581312304950655
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3,1,-1.7705673339493695,-0.22141705306023887
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3,1,-2.0815509948569293,-0.4820713206688316
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3,1,-2.5067688429128956,-0.5814373821868609
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,3,1,-1.4834148627201607,-1.454005245007035
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3,1,-2.7095640976810156,-1.0862063381202727
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,3,1,-2.470520350792356,-1.6514937428859282
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3,1,-3.2329652993777653,-0.41669003467497784
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3,1,-3.006742737973741,-1.520036231529224
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3,1,-3.3267075886127695,0.08750570909207411
10.93,12.8,0.839,5.046,2.717,5.398,5.045,3,1,-3.226605949876352,-1.0119173961700527
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3,1,-2.727987039103735,0.10650609606596154
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,3,2,-1.9612843295825793,0.7319142638262351
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3,1,-3.2871143768528572,-1.1686809934667106
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,3,1,-2.0382806507468687,0.15053280607542205
12.8,13.47,0.886,5.16,3.126,4.873,4.914,3,2,-1.6365580887725975,0.42241507871351974
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3,1,-1.740978196608747,-0.1330948473049952
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3,2,-1.1470659858335772,0.26457587261268
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3,1,-1.6832826790019697,-0.09712671728210842
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,3,2,-1.5037218407682236,1.7813156376151948
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3,1,-2.0554586858846102,-0.6025094753563472
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3,1,-2.8622671812238933,0.5199660799061003
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3,1,-2.056802502892342,0.09583792927227305
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3,2,-2.037896075011058,0.8814900137229731
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3,1,-2.778063421949263,-0.205400416882094
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3,1,-1.4491674351380117,-1.3441727913878248
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3,1,-2.3913694575638877,0.1131435528811641
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3,1,-2.0048968603620607,-0.5364226481216031
