Superficie_m2,Num_Habitaciones,Num_Banos,Tamano_Terreno,Ano_Construccion,Distancia_Centro,Tipo_Propiedad,Color_Propiedad,Ciudad,Precio,Superficie_pies
98.8311185,2,3,248.7773269,1972,4.526764642,Casa,Azul,Ciudad A,433374.0554,1063.81816
50.31764102,2,2,83.1287452,1959,4.699466847,Casa,Rojo,Ciudad C,144655.273,541.619088
127.1362591,2,3,262.8474406,2018,49.33865914,Dúplex,Verde,Ciudad B,531127.2489,1368.494693
276.5780864,2,2,554.0343598,1983,19.02640439,Casa,Verde,Ciudad A,1078458.241,2977.086522
203.4146129,5,3,512.2072292,2001,18.84678628,Departamento,Verde,Ciudad A,957462.6637,2189.554894
79.50503211,4,3,112.9216616,1959,40.73357858,Dúplex,Rojo,Ciudad B,203173.0226,855.7921657
177.2984901,4,5,285.9356964,1968,47.38880458,Casa,Azul,Ciudad B,499673.7437,1908.440947
233.1768066,2,2,349.0124261,2007,49.30705266,Dúplex,Rojo,Ciudad B,872471.7597,2509.915146
230.8015313,4,4,367.1171034,1950,37.79222017,Casa,Azul,Ciudad C,776796.8633,2484.347682
65.59146694,4,4,128.1604686,2018,19.12484948,Casa,Verde,Ciudad C,224817.9385,706.0265501
215.0613909,2,2,353.7435147,1953,4.633285477,Casa,Verde,Ciudad A,765407.8573,2314.920812
247.8725139,4,4,433.4140234,1965,38.96877234,Departamento,Rojo,Ciudad B,900810.5337,2668.099739
99.57144536,6,3,245.8300479,1973,28.14101036,Departamento,Rojo,Ciudad A,463788.252,1071.787038
73.69272456,3,3,171.0405539,1951,21.49898946,Dúplex,Azul,Ciudad A,283142.839,793.2284872
273.1957818,3,2,368.0891765,1981,45.36454206,Casa,Azul,Ciudad A,958096.5264,2940.679395
136.284318,2,3,203.0800179,1973,6.004275374,Casa,Rojo,Ciudad A,454290.6611,1466.964399
86.24164938,5,5,203.103684,1961,24.88494266,Departamento,Azul,Ciudad B,389129.0198,928.3051139
255.9990698,2,3,446.5525386,1999,1.062005416,Casa,Rojo,Ciudad A,1054411.977,2755.573987
106.8243062,5,4,165.2845763,1984,23.69870178,Departamento,Azul,Ciudad B,431691.7183,1149.856832
218.3123329,3,4,346.8692305,1982,3.287012146,Casa,Rojo,Ciudad B,802120.2553,2349.913951
264.4768414,2,3,435.5960023,1982,6.381486855,Dúplex,Rojo,Ciudad C,996016.3838,2846.828721
231.6817586,7,5,545.8751638,2010,6.317549215,Casa,Rojo,Ciudad B,1094771.389,2493.822449
250.3544815,6,6,354.0451868,2000,32.63590995,Casa,Azul,Ciudad C,1031117.126,2694.815639
55.32739005,4,5,135.7813949,1992,37.42922152,Departamento,Azul,Ciudad B,283328.3548,595.5440265
230.620779,5,7,458.5611668,1961,29.37675387,Casa,Azul,Ciudad B,936629.8192,2482.402065
231.9168061,7,6,378.9257016,2016,48.12754115,Casa,Rojo,Ciudad B,897838.0173,2496.352501
224.8056111,4,3,391.0401854,2014,19.05609369,Departamento,Azul,Ciudad C,905598.9333,2419.807598
235.9380914,4,5,366.4034974,1982,14.64274827,Dúplex,Azul,Ciudad C,856346.7303,2539.637616
89.18479922,2,3,199.4967824,1989,43.49565685,Dúplex,Rojo,Ciudad A,282907.0056,959.9851788
155.4804198,4,3,205.0533722,1992,11.56799401,Departamento,Verde,Ciudad C,659879.2637,1673.591239
99.9945886,6,4,125.5009934,1993,48.1795157,Departamento,Rojo,Ciudad C,361493.1893,1076.341752
283.75539,7,10,590.7649827,1978,1.101646497,Departamento,Azul,Ciudad C,1260802.862,3054.343018
113.7983814,4,4,164.1388438,1962,48.50900192,Departamento,Rojo,Ciudad C,377508.3523,1224.925778
297.1949976,2,2,385.0825112,1961,2.636415642,Departamento,Verde,Ciudad A,1120617.173,3199.006954
181.0564006,6,8,308.8474156,1995,44.61158413,Dúplex,Rojo,Ciudad C,679968.6616,1948.891096
268.2439124,3,4,351.9477471,1951,26.6212049,Dúplex,Azul,Ciudad B,926361.0666,2887.377473
96.45393812,7,9,235.2602294,1984,49.65175741,Departamento,Verde,Ciudad B,394694.3112,1038.23019
181.9763172,4,3,227.4059318,1957,4.152929954,Casa,Azul,Ciudad C,704589.6219,1958.793078
73.47772564,2,2,136.6767055,1975,27.91578708,Departamento,Verde,Ciudad C,260184.651,790.9142387
117.1641288,3,4,215.9419959,1983,48.48047551,Casa,Verde,Ciudad B,469305.213,1261.154683
210.7517051,3,2,447.9049388,1956,26.39334329,Departamento,Rojo,Ciudad B,849595.9303,2268.531354
60.12832513,5,3,108.9820973,2017,31.65523259,Departamento,Rojo,Ciudad A,179569.6795,647.2212917
171.3989669,6,9,253.6812924,2007,34.9395601,Dúplex,Azul,Ciudad B,731009.742,1844.938479
139.3026291,4,4,341.7422554,1978,22.99978271,Casa,Rojo,Ciudad B,513952.2921,1499.4535
113.6012001,2,2,249.6768772,1985,31.56412496,Casa,Rojo,Ciudad C,362064.4699,1222.803318
61.37994939,5,7,146.0671382,1970,29.42355844,Dúplex,Verde,Ciudad B,265716.1624,660.6937753
290.1976645,6,9,443.8700897,1985,45.10732152,Dúplex,Rojo,Ciudad A,1141498.672,3123.687661
294.8281801,5,5,373.8950613,1959,2.749595827,Dúplex,Verde,Ciudad B,1060906.172,3173.530531
53.61440123,7,10,92.46621981,1973,14.40767788,Dúplex,Verde,Ciudad C,176181.7711,577.1054148
138.026978,6,4,263.8507946,2013,47.54536846,Casa,Verde,Ciudad C,545861.2025,1485.722391
107.6501828,6,5,165.7139547,1998,44.5680573,Casa,Azul,Ciudad B,507899.4419,1158.746568
175.2408698,4,5,407.4451172,1985,23.05500926,Departamento,Azul,Ciudad C,727470.2291,1886.292723
138.1632183,6,8,206.5497701,1973,31.19656359,Departamento,Azul,Ciudad A,517227.5296,1487.188882
125.0812745,5,7,346.1306605,1972,14.23036856,Dúplex,Verde,Ciudad A,712712.7741,1346.374838
160.9095125,6,5,287.1111536,2011,9.811997406,Dúplex,Azul,Ciudad B,722445.3129,1732.029993
232.6952353,4,6,543.8273094,1986,23.45307104,Dúplex,Azul,Ciudad B,998850.5645,2504.731513
241.5449632,4,5,360.268123,1961,17.99093529,Departamento,Rojo,Ciudad B,929258.0242,2599.989984
217.0388039,7,10,383.3819769,2004,29.39097754,Departamento,Azul,Ciudad C,940421.23,2336.205685
45.92215543,5,6,120.2338548,1962,4.34786453,Departamento,Azul,Ciudad A,203433.4769,494.306081
218.4216406,3,4,309.0884205,1972,48.73254298,Departamento,Verde,Ciudad A,674006.8664,2351.090539
84.10556286,3,3,115.2958001,1979,49.31743185,Departamento,Verde,Ciudad C,316354.442,905.3122786
257.2894702,6,5,627.4014714,1966,35.05900484,Departamento,Verde,Ciudad A,1061776.894,2769.463857
124.8086489,7,10,276.7665726,2011,27.03677013,Departamento,Verde,Ciudad B,618314.5182,1343.440297
204.697532,2,3,266.9715954,1962,15.82161701,Dúplex,Verde,Ciudad B,720331.1805,2203.364234
94.51121478,6,5,170.12825,2008,40.78285348,Dúplex,Verde,Ciudad B,425552.0814,1017.318716
154.5170106,7,6,269.8272747,1968,34.39419304,Dúplex,Azul,Ciudad A,716059.8064,1663.221102
179.0237555,5,5,392.2732339,1998,8.549538498,Dúplex,Verde,Ciudad B,814235.1733,1927.011705
47.33119898,5,5,77.83205296,1961,45.59089563,Departamento,Verde,Ciudad C,100329.8939,509.4730258
181.9063372,5,7,263.4529811,2010,41.21559352,Casa,Rojo,Ciudad C,685625.2606,1958.039813
101.4253877,5,3,134.4288902,1968,47.51509571,Departamento,Azul,Ciudad A,354734.0771,1091.742874
156.743225,5,3,272.3053667,1958,36.42311567,Casa,Azul,Ciudad C,509166.4219,1687.184073
48.42973453,7,7,111.0376432,2020,30.8640522,Dúplex,Azul,Ciudad C,319403.0416,521.2976625
99.30168927,7,5,131.3921224,1977,21.2030303,Departamento,Verde,Ciudad A,281253.1319,1068.883383
262.6394592,4,3,645.2400184,2001,46.67005993,Dúplex,Verde,Ciudad B,1070785.911,2827.051139
227.8824253,3,4,426.0138957,1965,43.37016253,Departamento,Verde,Ciudad B,882673.6235,2452.926425
192.5806014,5,6,294.7860955,2018,2.73832417,Dúplex,Rojo,Ciudad B,884422.6768,2072.937593
262.9652764,2,2,352.983419,1961,1.805165238,Casa,Verde,Ciudad A,907957.6682,2830.558235
91.16556728,7,7,133.7084991,1974,19.13493666,Casa,Rojo,Ciudad C,310446.1253,981.3061662
205.6070643,2,2,509.5646195,2001,40.62238987,Casa,Azul,Ciudad B,808500.7717,2213.15444
